,STATION,Day,Time_Range,Total_Traffic
11961,MT EDEN AV,Tuesday,12:00 to 16:00,1989.0
11962,MT EDEN AV,Tuesday,16:00 to 20:00,2445.75
11963,MT EDEN AV,Tuesday,20:00 to 00:00,1139.0
11964,MT EDEN AV,Wednesday,00:00 to 04:00,289.0
11965,MT EDEN AV,Wednesday,04:00 to 08:00,1990.25
11966,MT EDEN AV,Wednesday,08:00 to 12:00,2251.25
11967,MT EDEN AV,Wednesday,12:00 to 16:00,2021.0
11968,MT EDEN AV,Wednesday,16:00 to 20:00,2403.5
11969,MT EDEN AV,Wednesday,20:00 to 00:00,1153.25
11970,MYRTLE AV,Friday,00:00 to 04:00,504.75
11971,MYRTLE AV,Friday,04:00 to 08:00,2958.0
11972,MYRTLE AV,Friday,08:00 to 12:00,3567.75
